Username,E-mail,Group,Prefix,Database,Username,Password,Server
userA,userA@fp.insjoaquimmir.cat,g01,1asix,1asix.m2.g01,1asix.userA,userA2021-ERA!,%
userB,userB@fp.insjoaquimmir.cat,g01,1asix,1asix.m2.g01,1asix.userB,userB2021-ERB!,%
userC,userC@fp.insjoaquimmir.cat,g01,1asix,1asix.m2.g01,1asix.userC,userC2021-ERC!,%
userD,userD@fp.insjoaquimmir.cat,g02,1asix,1asix.m2.g02,1asix.userD,userD2021-ERD!,%
userE,userE@fp.insjoaquimmir.cat,g02,1asix,1asix.m2.g02,1asix.userE,userE2021-ERE!,%
userF,userF@fp.insjoaquimmir.cat,g02,1asix,1asix.m2.g02,1asix.userF,userF2021-ERF!,%
userG,userG@fp.insjoaquimmir.cat,g03,1asix,1asix.m2.g03,1asix.userG,userG2021-ERG!,%
userH,userH@fp.insjoaquimmir.cat,g03,1asix,1asix.m2.g03,1asix.userH,userH2021-ERH!,%
userI,userI@fp.insjoaquimmir.cat,g03,1asix,1asix.m2.g03,1asix.userI,userI2021-ERI!,%
userJ,userJ@fp.insjoaquimmir.cat,g01,1daw,1daw.m2.g01,1daw.userJ,userJ2021-ERJ!,%
userK,userK@fp.insjoaquimmir.cat,g01,1daw,1daw.m2.g01,1daw.userK,userK2021-ERK!,%
userL,userK@fp.insjoaquimmir.cat,g01,1daw,1daw.m2.g01,1daw.userL,userL2021-ERL!,%
userM,userL@fp.insjoaquimmir.cat,g02,1daw,1daw.m2.g02,1daw.userM,userM2021-ERM!,%
userN,userM@fp.insjoaquimmir.cat,g02,1daw,1daw.m2.g02,1daw.userN,userN2021-ERN!,%
userO,userN@fp.insjoaquimmir.cat,g02,1daw,1daw.m2.g02,1daw.userO,userO2021-ERO!,%
userP,userO@fp.insjoaquimmir.cat,g03,1daw,1daw.m2.g02,1daw.userP,userP2021-ERP!,%
userQ,userP@fp.insjoaquimmir.cat,g03,1daw,1daw.m2.g03,1daw.userQ,userQ2021-ERQ!,%
userR,userR@fp.insjoaquimmir.cat,g03,1daw,1daw.m2.g03,1daw.userR,userR2021-ERR!,%
